ERRNO,0,万事OK,
EPERM,1,禁止操作,
ENOENT,2,缺少该文件（夹）,
ESRCH,3,缺少该进程,
EINTR,4,系统调用中断,
EIO,5,I/O错误,
ENXIO,6,缺少该设备或地址,
E2BIG,7,参数太长了,
ENOEXEC,8,执行格式错误,
EBADF,9,错的文件数,
ECHILD,10,没有子进程,
EAGAIN,11,再来一次,
ENOMEM,12,爆内存了,
EACCES,13,权限被拒,
EFAULT,14,错的地址,
ENOTBLK,15,需要块设备,
EBUSY,16,设备或资源繁忙,
EEXIST,17,文件已存在,
EXDEV,18,跨设备链接,
ENODEV,19,缺少该设备,
ENOTDIR,20,非文件夹,
EISDIR,21,是文件夹,
EINVAL,22,非法参数,
ENFILE,23,文件表溢出,
EMFILE,24,太多打开的文件,
ENOTTY,25,非打印机,
ETXTBSY,26,文本文件繁忙,
EFBIG,27,文件太大,
ENOSPC,28,设备上没有剩余空间了,
ESPIPE,29,非法请求,
EROFS,30,只读文件系统,
EMLINK,31,太多链接,
EPIPE,32,管子破了,
EDOM,33,Math argument out of domain of func */,
ERANGE,34,Math result not representable */,
EDEADLK,35,Resource deadlock would occur */,
ENAMETOOLONG,36,File name too long */,
ENOLCK,37,No record locks available */,
ENOSYS,38,Function not implemented */,
ENOTEMPTY,39,Directory not empty */,
ELOOP,40,Too many symbolic links encountered */,
EWOULDBLOCK ,,Operation would block */,
ENOMSG,42,No message of desired type */,
EIDRM,43,Identifier removed */,
ECHRNG,44,Channel number out of range */,
EL2NSYNC,45,Level,2 not synchronized */
EL3HLT,46,Level,3 halted */
EL3RST,47,Level,3 reset */
ELNRNG,48,Link number out of range */,
EUNATCH,49,Protocol driver not attached */,
ENOCSI,50,No CSI structure available */,
EL2HLT,51,Level,2 halted */
EBADE,52,Invalid exchange */,
EBADR,53,Invalid request descriptor */,
EXFULL,54,Exchange full */,
ENOANO,55,No anode */,
EBADRQC,56,Invalid request code */,
EBADSLT,57,Invalid slot */,
EDEADLOCK   EDEADLK,,,
EBFONT,59,Bad font file format */,
ENOSTR,60,Device not a stream */,
ENODATA,61,No data available */,
ETIME,62,Timer expired */,
ENOSR,63,Out of streams resources */,
ENONET,64,Machine is not on the network */,
ENOPKG,65,Package not installed */,
EREMOTE,66,Object is remote */,
ENOLINK,67,Link has been severed */,
EADV,68,Advertise error */,
ESRMNT,69,Srmount error */,
ECOMM,70,Communication error on send */,
EPROTO,71,Protocol error */,
EMULTIHOP,72,Multihop attempted */,
EDOTDOT,73,RFS specific error */,
EBADMSG,74,Not a data message */,
EOVERFLOW,75,Value too large for defined data type */,
ENOTUNIQ,76,Name not unique on network */,
EBADFD,77,File descriptor in bad state */,
EREMCHG,78,Remote address changed */,
ELIBACC,79,Can not access a needed shared library */,
ELIBBAD,80,Accessing a corrupted shared library */,
ELIBSCN,81,.lib section in a.out corrupted */,
ELIBMAX,82,Attempting to link in too many shared libraries */,
ELIBEXEC,83,Cannot exec a shared library directly */,
EILSEQ,84,Illegal byte sequence */,
ERESTART,85,Interrupted system call should be restarted */,
ESTRPIPE,86,Streams pipe error */,
EUSERS,87,Too many users */,
ENOTSOCK,88,Socket operation on non-socket */,
EDESTADDRREQ,89,Destination address required */,
EMSGSIZE,90,Message too long */,
EPROTOTYPE,91,Protocol wrong type for socket */,
ENOPROTOOPT,92,Protocol not available */,
EPROTONOSUPPORT,93,Protocol not supported */,
ESOCKTNOSUPPORT,94,Socket type not supported */,
EOPNOTSUPP,95,Operation not supported on transport endpoint */,
EPFNOSUPPORT,96,Protocol family not supported */,
EAFNOSUPPORT,97,Address family not supported by protocol */,
EADDRINUSE,98,Address already in use */,
EADDRNOTAVAIL,99,Cannot assign requested address */,
ENETDOWN,100,Network is down */,
ENETUNREACH,101,Network is unreachable */,
ENETRESET,102,Network dropped connection because of reset */,
ECONNABORTED,103,Software caused connection abort */,
ECONNRESET,104,Connection reset by peer */,
ENOBUFS,105,No buffer space available */,
EISCONN,106,Transport endpoint is already connected */,
ENOTCONN,107,Transport endpoint is not connected */,
ESHUTDOWN,108,Cannot send after transport endpoint shutdown */,
ETOOMANYREFS,109,Too many references: cannot splice */,
ETIMEDOUT,110,Connection timed out */,
ECONNREFUSED,111,Connection refused */,
EHOSTDOWN,112,Host is down */,
EHOSTUNREACH,113,No route to host */,
EALREADY,114,操作已在进行中,
EINPROGRESS,115,Operation now in progress */,
ESTALE,116,过期文件句柄,
EUCLEAN,117,结构需要清理,
ENOTNAM,118,非XENIX命名类型文件,
ENAVAIL,119,无可用的XENIX信号量,
EISNAM,120,是命名类型文件,
EREMOTEIO,121,远端I/O错误,
EDQUOT,122,超出配额,
ENOMEDIUM,123,找不到介质,
EMEDIUMTYPE,124,错的介质类型,
ECANCELED,125,操作退出,
ENOKEY,126,请求密钥不可达,
EKEYEXPIRED,127,密钥已过期,
EKEYREVOKED,128,密钥已被撤销,
EKEYREJECTED,129,密钥被服务拒绝,
EOWNERDEAD,130,拥有者挂了,
ENOTRECOVERABLE,131,状态不可恢复,
ERFKILL,132,由于射频干扰无法操作,
EHWPOISON,133,内存页有硬件故障,
